Date,Harvey_Texas,Harvey_Louisiana,Irma_PuertoRico,Irma_StCroix,Irma_StJohn,Irma_StThomas,Irma_Florida,Irma_Georgia,Irma_SouthCarolina,Irma_NorthCarolina,Irma_Alabama,Maria_PuertoRico,Maria_StThomas,Maria_StJohn,Maria_StCroix,Nate_Alabama,Nate_Florida,Nate_Mississippi
11/27/17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
11/28/17,null,null,null,null,null,null,null,null,null,null,null,null,13488,1646,13675,null,null,null
11/30/17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/5/17,null,null,null,null,null,null,null,null,null,null,null,null,11723,1317,12690,null,null,null
12/6/17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/11/17,null,null,null,null,null,null,null,null,null,null,null,null,9720,946,11219,null,null,null
12/13/17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/19/17,null,null,null,null,null,null,null,null,null,null,null,null,8549,802,8698,null,null,null
12/20/17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/24/17,null,null,null,null,null,null,null,null,null,null,null,null,7784,250,8310,null,null,null
12/27/17,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
12/28/17,null,null,null,null,null,null,null,null,null,null,null,null,6758,233,7824,null,null,null
1/3/18,null,null,null,null,null,null,null,null,null,null,null,675000,null,null,null,null,null,null
1/7/17,null,null,null,null,null,null,null,null,null,null,null,null,5095,218,5137,null,null,null
1/10/18,null,null,null,null,null,null,null,null,null,null,null,620000,null,null,null,null,null,null
1/15/18,null,null,null,null,null,null,null,null,null,null,null,null,4557,203,3899,null,null,null
1/17/18,null,null,null,null,null,null,null,null,null,null,null,537600,null,null,null,null,null,null
1/21/18,null,null,null,null,null,null,null,null,null,null,null,null,4253,195,1395,null,null,null
1/24/18,null,null,null,null,null,null,null,null,null,null,null,467600,null,null,null,null,null,null
1/29/18,null,null,null,null,null,null,null,null,null,null,null,null,2902,157,837,null,null,null
1/31/18,null,null,null,null,null,null,null,null,null,null,null,439000,null,null,null,null,null,null
2/7/18,null,null,null,null,null,null,null,null,null,null,null,419000,null,null,null,null,null,null
2/14/18,null,null,null,null,null,null,null,null,null,null,null,343000,null,null,null,null,null,null
2/21/18,null,null,null,null,null,null,null,null,null,null,null,211487,null,null,null,null,null,null
2/28/18,null,null,null,null,null,null,null,null,null,null,null,185200,null,null,null,null,null,null
3/7/18,null,null,null,null,null,null,null,null,null,null,null,155695,null,null,null,null,null,null
3/14/18,null,null,null,null,null,null,null,null,null,null,null,120991,null,null,null,null,null,null
3/21/18,null,null,null,null,null,null,null,null,null,null,null,97000,null,null,null,null,null,null
3/28/18,null,null,null,null,null,null,null,null,null,null,null,80100,null,null,null,null,null,null
4/4/18,null,null,null,null,null,null,null,null,null,null,null,61914,null,null,null,null,null,null
