Date,Harvey_Texas_customers,Harvey_Texas_percentage,Harvey_Texas_peak,Harvey_Louisiana_customers,Harvey_Louisiana_percentage,Harvey_Louisiana,Irma_PuertoRico_customers,Irma_PuertoRico_percentage,Irma_PuertoRico,Irma_StCroix_customers,Irma_StCroix_percentage,Irma_StCroix,Irma_StJohn_customers,Irma_StJohns_percentage,Irma_StJohns,Irma_StThomas_customers,Irma_StThomas_percentage,Irma_StThomas,Irma_Florida_customers,Irma_Florida_percentage,Irma_Florida,Irma_Georgia_customers,Irma_Georgia_percentage,Irma_Georgia,Irma_SouthCarolina_customers,Irma_SouthCarolina_percentage,Irma_SouthCarolina,Irma_NorthCarolina_customers,Irma_NorthCarolina_percentage,Irma_NorthCarolina,Irma_Alabama_customers,Irma_Alabama_percentage,Irma_Alabama,Maria_PuertoRico_customers,Maria_PuertoRico_percentage,Maria_PuertoRico,Maria_StThomas_customers,Maria_StThomas_percentage,Maria_StThomas,Maria_StJohn_customers,Maria_StJohn_percentage,Maria_StJohn,Maria_StCroix_customers,Maria_StCroix_percentage,Maria_StCroix,Maria_U.S.VirginIslands_customers,Maria_U.S.VirginIslands_percentage,Nate_Alabama_customers,Nate_Alabama_percentage,Nate_Alabama,Nate_Florida_customers,Nate_Florida,Nate_Florida,Nate_Mississippi_customers,Nate_Mississippi,Nate_Mississippi
8/26/17,278,182,2.4,287,760,780,1,2,098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/27/17,289509,2.5,2877,426,1,3673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/28/17 ,292704,2.5,306058,2582,1,8215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/29/17 ,274086,2.3,312698,1031,1,4483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/30/17 ,275584,2.3,298004,16517,1,19350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/31/17  ,186969,1.6,277973,9116,1,22636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/17 ,158771,1.3,193225,1690,1,10619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/02/17 ,114771,1,156716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/02/17 ,64308,1,78639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/05/17 ,55996,1,68896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/06/17 ,53,311,100,63,933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/07/17,,,,,,,1,044,289,66,1,101,118,9,080,N/A ,14,543,2,893,100,2,893,19,581,100%,19,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/08/17  ,,,,,,,870403,55.4,1044289,,,,2893,100,2893,19581,100,19581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/17 ,,,,,,,674085,42,870043,6905,31,6905,2893,100,2893,19581,100,19581,56758,1,66434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/10/17 ,,,,,,,431064,27.5,674085,6905,31,6905,2893,100,2893,19581,100,19581,1779744,18,1825642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/11/17 ,,,,,,,368682,23.5,431064,6905,31,6905,2893,100,2893,19574,99,19581,6117024,59,6117024,866682,9,866682,184471,7.24,184471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/17 ,,,,,,,,,,,,,,,,,,,4788277,48,6013853,932,587,22,1,342,008,140,759,6,295,803,56,834,1,70,953,20,050,1,57,000,,,,,,,,,,,,,,,,,,,,,,,
9/13/17 ,,,,,,,,,,,,,,,,,,,3568499,35,4608887,451033,9.4,924887,58972,2.3,142821,24445,1,51527,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/17,,,,,,,103,677,6.6,117244,,,,,,,,,,2,292,530,23,3,568,499,218,502,5,451,033,9,792,1,58,972,8,655,1,24,445,,,,,,,,,,,,,,,,,,,,,,,,,,
9/15/17,,,,,,,86,997,5.6,97,029,,,,,,,,,,2,009,805,20,2,499,785,69,115,1,188,822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/17,,,,,,,69,877,4.5,86,997,,,,,,,,,,1,204,894,12,1,987,500,22,701,1,84,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/17,,,,,,,65,053,4.1,69,877,,,,,,,,,,813,411,8,1,153,612,4,764,1,22,298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/18/17,,,,,,,63,503,4,65,053,,,,,,,,,,386,762,4,764,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/17,,,,,,,61,308,3.9,63,503,,,,,,,,,,202,439,2,386,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/20/17,,,,,,,,,,,,,,,,,,,75,803,1,202,439,,,,,,,,,,,,,884,000,56.3,884,000,,,,,,,,,,,,,,,,,,,,
9/21/17,,,,,,,,,,,,,,,,,,,36,700,1,75,803,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/21/17,,,,,,,,,,,,,,,,,,,29,315,1,62,513,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/22/17,,,,,,,,,,,,,,,,,,,16,771,1,36,700,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/22/17,,,,,,,,,,,,,,,,,,,13,337,1,29,315,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/23/17,,,,,,,,,,,,,,,,,,,10,189,1,13,337,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/24/17,,,,,,,,,,,,,,,,,,,7,851,1,10,189,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/25/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/26/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/27/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/28/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/29/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,569,796,100,1,569,796,,,,,,,,,,,,,,,,,,,,
9/30/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,491,307,95,1,491,307,,,,,,,,,,,,,,,,,,,,
10/1/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,491,307,95,1,491,307,,,,,,,,,,,,,,,,,,,,
10/2/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,485,028,94.6,1,491,307,,,,,,,,,,,,,,,,,,,,
